Date,Price,Open,High,Low,Vol.,Change %
"Aug 05, 2019","6,640.30","6,768.60","6,768.60","6,639.40",594.67M,-1.90%
"Aug 02, 2019","6,768.60","6,788.90","6,788.90","6,747.80",609.52M,-0.30%
"Aug 01, 2019","6,788.90","6,812.60","6,812.60","6,780.60",583.99M,-0.35%
"Jul 31, 2019","6,812.60","6,845.10","6,845.10","6,812.60",760.14M,-0.47%
"Jul 30, 2019","6,845.10","6,825.80","6,875.50","6,825.80",601.53M,0.28%
"Jul 29, 2019","6,825.80","6,793.40","6,834.40","6,793.40",532.54M,0.48%
"Jul 26, 2019","6,793.40","6,818.00","6,818.00","6,779.50",664.36M,-0.36%
"Jul 25, 2019","6,818.00","6,776.70","6,818.00","6,771.10",681.66M,0.61%
"Jul 24, 2019","6,776.70","6,724.60","6,783.30","6,724.60",629.99M,0.77%
"Jul 23, 2019","6,724.60","6,691.20","6,730.70","6,688.80",643.34M,0.50%
"Jul 22, 2019","6,691.20","6,700.30","6,710.70","6,673.20",521.33M,-0.14%
"Jul 19, 2019","6,700.30","6,649.10","6,705.40","6,646.60",491.23M,0.77%
"Jul 18, 2019","6,649.10","6,673.30","6,673.30","6,630.70",531.30M,-0.36%
"Jul 17, 2019","6,673.30","6,641.00","6,675.40","6,626.60",523.02M,0.49%
"Jul 16, 2019","6,641.00","6,653.00","6,665.30","6,641.00",549.37M,-0.18%
"Jul 15, 2019","6,653.00","6,694.90","6,694.90","6,638.50",456.07M,-0.65%
"Jul 12, 2019","6,696.50","6,716.10","6,717.10","6,687.70",565.57M,-0.29%
"Jul 11, 2019","6,716.10","6,689.80","6,729.40","6,686.10",645.73M,0.39%
"Jul 10, 2019","6,689.80","6,665.70","6,718.20","6,665.70",631.14M,0.36%
"Jul 09, 2019","6,665.70","6,672.20","6,679.00","6,641.40",550.09M,-0.10%
"Jul 08, 2019","6,672.20","6,740.00","6,751.30","6,672.20",457.99M,-1.17%
"Jul 05, 2019","6,751.30","6,718.00","6,769.60","6,714.80",579.05M,0.50%
"Jul 04, 2019","6,718.00","6,685.50","6,731.90","6,685.50",570.46M,0.49%
"Jul 03, 2019","6,685.50","6,653.20","6,692.40","6,641.70",642.49M,0.49%
"Jul 02, 2019","6,653.20","6,648.40","6,686.50","6,642.50",596.69M,0.08%
"Jul 01, 2019","6,648.10","6,618.80","6,664.00","6,618.80",555.61M,0.44%
"Jun 28, 2019","6,618.80","6,666.30","6,670.10","6,618.80",754.15M,-0.71%
"Jun 27, 2019","6,666.30","6,640.50","6,666.30","6,606.30",676.69M,0.39%
"Jun 26, 2019","6,640.50","6,658.00","6,658.00","6,637.40",746.12M,-0.26%
"Jun 25, 2019","6,658.00","6,665.40","6,680.30","6,647.30",663.40M,-0.11%
"Jun 24, 2019","6,665.40","6,650.80","6,665.40","6,617.00",558.76M,0.22%
"Jun 21, 2019","6,650.80","6,687.40","6,691.50","6,641.10",1.16B,-0.55%
"Jun 20, 2019","6,687.40","6,648.10","6,687.40","6,638.80",1.00B,0.59%
"Jun 19, 2019","6,648.10","6,570.00","6,648.10","6,570.00",739.42M,1.19%
"Jun 18, 2019","6,570.00","6,530.90","6,572.50","6,529.30",859.94M,0.60%
"Jun 17, 2019","6,530.90","6,554.00","6,555.40","6,527.00",571.90M,-0.35%
"Jun 14, 2019","6,554.00","6,542.40","6,559.50","6,533.00",585.18M,0.18%
"Jun 13, 2019","6,542.40","6,543.70","6,563.20","6,534.30",625.69M,-0.02%
"Jun 12, 2019","6,543.70","6,546.30","6,587.30","6,543.70",684.41M,-0.04%
"Jun 11, 2019","6,546.30","6,443.90","6,546.30","6,443.90",737.51M,1.59%
"Jun 07, 2019","6,443.90","6,383.00","6,443.90","6,383.00",600.02M,0.95%
"Jun 06, 2019","6,383.00","6,358.50","6,403.20","6,358.50",618.62M,0.39%
"Jun 05, 2019","6,358.50","6,332.40","6,387.60","6,332.40",624.94M,0.41%
"Jun 04, 2019","6,332.40","6,320.50","6,343.00","6,315.60",739.81M,0.19%
"Jun 03, 2019","6,320.50","6,396.90","6,396.90","6,320.50",628.72M,-1.19%
"May 31, 2019","6,396.90","6,392.10","6,398.80","6,362.20",742.87M,0.08%
"May 30, 2019","6,392.10","6,440.00","6,440.00","6,379.70",719.28M,-0.74%
"May 29, 2019","6,440.00","6,484.80","6,484.80","6,419.30",544.65M,-0.69%
"May 28, 2019","6,484.80","6,451.90","6,491.70","6,451.90",811.67M,0.51%
"May 27, 2019","6,451.90","6,455.80","6,464.60","6,447.60",436.67M,-0.06%
"May 24, 2019","6,456.00","6,491.80","6,491.80","6,437.30",585.62M,-0.55%
"May 23, 2019","6,491.80","6,510.70","6,510.70","6,480.20",637.70M,-0.29%
"May 22, 2019","6,510.70","6,500.10","6,510.90","6,478.60",628.77M,0.16%
"May 21, 2019","6,500.10","6,476.10","6,500.10","6,444.40",669.32M,0.37%
"May 20, 2019","6,476.10","6,365.30","6,476.10","6,365.30",659.70M,1.74%
"May 17, 2019","6,365.30","6,327.80","6,398.30","6,327.80",590.23M,0.59%
"May 16, 2019","6,327.80","6,284.20","6,327.80","6,272.80",668.89M,0.69%
"May 15, 2019","6,284.20","6,239.90","6,291.30","6,239.90",528.79M,0.71%
"May 14, 2019","6,239.90","6,297.60","6,297.60","6,203.10",685.23M,-0.92%
"May 13, 2019","6,297.60","6,310.90","6,310.90","6,277.90",512.58M,-0.21%
"May 10, 2019","6,310.90","6,295.30","6,317.40","6,283.60",516.08M,0.25%
"May 09, 2019","6,295.30","6,269.10","6,300.20","6,258.80",550.54M,0.42%
"May 08, 2019","6,269.10","6,295.70","6,295.70","6,241.50",562.29M,-0.42%
"May 07, 2019","6,295.70","6,283.70","6,341.90","6,283.70",511.04M,0.19%
"May 06, 2019","6,283.70","6,335.80","6,335.80","6,248.40",552.00M,-0.82%
"May 03, 2019","6,335.80","6,338.40","6,355.00","6,327.20",520.29M,-0.04%
"May 02, 2019","6,338.40","6,375.90","6,375.90","6,323.50",670.59M,-0.59%
